
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 80,88,102,105,113,206,252,272,296,305,380,443,473,490,503,574,584,592,596,645,670,700,737,749,808,842,852,858,883,889,900,933,970,988,1054,1139,1181,1261,1264,1282,1304,1319,1328,1334,1340,1343,1355,1435,1481,1520,1544,1781,1904,1945,1947,1975,2011,2038,2076,2098,2105,2106,2138,2148,2170,2173,2202,2219,2235,2274,2280,2312,2313,2341,2366,2369,2448,2468,2506,2716,2732,2863,2870,2876,2925,2933,2942,2975,2996,3054,3199,3231,3296,3408,3480,3517,3524,3526,3554,3610,3651,3659,3750,3792,3814,3888,3891,3908,3994,4035,4037,4066,4075,4316,4331,4336,4355,4377,4500,4506,4517,4588,4654,4657,4677,4696,4709,4721,4774,4778,4863,4887,4931,4970,4977,4989,5001,5021,5051,5082,5090,5130,5138,5164,5196,5200,5215,5302,5319,5406,5597,5602,5610,5627,5660,5671,5682,5757,5913,5932,5969,6023,6027,6054,6065,6114,6169,6173,6197,6200,6226,6241,6395,6411,6464,6472,6484,6491,6589,6711,6713,6752,6832,6875,6902,6909,6935,6972,6987,7028,7148,7167,7172,7262,7324,7328,7373,7384,7395,7411,7483,7574,7617,7627,7630,7639,7722,7730,7781,8000,8057,8079,8102,8117,8156,8191,8222,8243,8318,8358,8376,8413,8449,8566,8595,8605,8670,8716,8813,8830,8894,8895,8958,8967,8989,9043,9044,9087,9161,9164,9185,9258,9314,9322,9334,9474,9533,9594,9665,9681,9701,9711,9734,9866,9868,9900,9904,9909 --out docs/evidence/p9-04r-2026-09-09/failed-seeds-1 --workers 12

48/258: seed 1520 passed; 0 findings; 3327 ms
49/258: seed 1544 passed; 0 findings; 3236 ms
50/258: seed 1945 passed; 0 findings; 3309 ms
51/258: seed 1904 passed; 0 findings; 3697 ms
52/258: seed 1781 passed; 0 findings; 4203 ms
53/258: seed 1975 passed; 0 findings; 2919 ms
54/258: seed 1947 passed; 0 findings; 3555 ms
55/258: seed 2011 passed; 0 findings; 3110 ms
56/258: seed 2076 passed; 0 findings; 2982 ms
57/258: seed 2105 passed; 0 findings; 3096 ms
58/258: seed 2098 passed; 0 findings; 3419 ms
59/258: seed 2106 passed; 0 findings; 3271 ms
60/258: seed 2138 passed; 0 findings; 3007 ms
61/258: seed 2148 passed; 0 findings; 3199 ms
62/258: seed 2038 passed; 0 findings; 5044 ms
63/258: seed 2170 passed; 0 findings; 3535 ms
64/258: seed 2202 passed; 0 findings; 3055 ms
65/258: seed 2173 passed; 0 findings; 4451 ms
66/258: seed 2235 passed; 0 findings; 3169 ms
67/258: seed 2274 passed; 0 findings; 3004 ms
68/258: seed 2219 passed; 0 findings; 4230 ms
69/258: seed 2280 passed; 0 findings; 3114 ms
70/258: seed 2312 passed; 0 findings; 3841 ms
71/258: seed 2341 passed; 0 findings; 3521 ms
72/258: seed 2366 passed; 0 findings; 3122 ms
73/258: seed 2369 passed; 0 findings; 3061 ms
74/258: seed 2313 passed; 0 findings; 4405 ms
75/258: seed 2448 passed; 0 findings; 3184 ms
76/258: seed 2506 passed; 0 findings; 3280 ms
77/258: seed 2468 passed; 0 findings; 3547 ms
78/258: seed 2732 passed; 0 findings; 3538 ms
79/258: seed 2863 passed; 0 findings; 3538 ms
80/258: seed 2716 passed; 0 findings; 4457 ms
81/258: seed 2870 passed; 0 findings; 3246 ms
82/258: seed 2925 passed; 0 findings; 2988 ms
83/258: seed 2933 passed; 0 findings; 3137 ms
84/258: seed 2876 passed; 0 findings; 3868 ms
85/258: seed 2942 passed; 0 findings; 3081 ms
