
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 80,88,102,105,113,206,252,272,296,305,380,443,473,490,503,574,584,592,596,645,670,700,737,749,808,842,852,858,883,889,900,933,970,988,1054,1139,1181,1261,1264,1282,1304,1319,1328,1334,1340,1343,1355,1435,1481,1520,1544,1781,1904,1945,1947,1975,2011,2038,2076,2098,2105,2106,2138,2148,2170,2173,2202,2219,2235,2274,2280,2312,2313,2341,2366,2369,2448,2468,2506,2716,2732,2863,2870,2876,2925,2933,2942,2975,2996,3054,3199,3231,3296,3408,3480,3517,3524,3526,3554,3610,3651,3659,3750,3792,3814,3888,3891,3908,3994,4035,4037,4066,4075,4316,4331,4336,4355,4377,4500,4506,4517,4588,4654,4657,4677,4696,4709,4721,4774,4778,4863,4887,4931,4970,4977,4989,5001,5021,5051,5082,5090,5130,5138,5164,5196,5200,5215,5302,5319,5406,5597,5602,5610,5627,5660,5671,5682,5757,5913,5932,5969,6023,6027,6054,6065,6114,6169,6173,6197,6200,6226,6241,6395,6411,6464,6472,6484,6491,6589,6711,6713,6752,6832,6875,6902,6909,6935,6972,6987,7028,7148,7167,7172,7262,7324,7328,7373,7384,7395,7411,7483,7574,7617,7627,7630,7639,7722,7730,7781,8000,8057,8079,8102,8117,8156,8191,8222,8243,8318,8358,8376,8413,8449,8566,8595,8605,8670,8716,8813,8830,8894,8895,8958,8967,8989,9043,9044,9087,9161,9164,9185,9258,9314,9322,9334,9474,9533,9594,9665,9681,9701,9711,9734,9866,9868,9900,9904,9909 --out docs/evidence/p9-04r-2026-09-09/failed-seeds-final --workers 12

190/258: seed 6987 passed; 0 findings; 4207 ms
191/258: seed 7172 passed; 0 findings; 4224 ms
192/258: seed 7167 passed; 0 findings; 4850 ms
193/258: seed 7148 passed; 0 findings; 5299 ms
194/258: seed 7324 passed; 0 findings; 4143 ms
195/258: seed 7328 passed; 0 findings; 4133 ms
196/258: seed 7373 passed; 0 findings; 4049 ms
197/258: seed 7384 passed; 0 findings; 4018 ms
198/258: seed 7395 passed; 0 findings; 3856 ms
199/258: seed 7262 passed; 0 findings; 5247 ms
200/258: seed 7411 passed; 0 findings; 3317 ms
201/258: seed 7574 passed; 0 findings; 3223 ms
202/258: seed 7483 passed; 0 findings; 3702 ms
203/258: seed 7617 passed; 0 findings; 3502 ms
204/258: seed 7630 passed; 0 findings; 3208 ms
205/258: seed 7722 passed; 0 findings; 3158 ms
206/258: seed 7627 passed; 0 findings; 3883 ms
207/258: seed 7639 passed; 0 findings; 3445 ms
208/258: seed 7730 passed; 0 findings; 3099 ms
209/258: seed 8000 passed; 0 findings; 3195 ms
210/258: seed 7781 passed; 0 findings; 3811 ms
211/258: seed 8079 passed; 0 findings; 2979 ms
212/258: seed 8102 passed; 0 findings; 3184 ms
213/258: seed 8117 passed; 0 findings; 3037 ms
214/258: seed 8057 passed; 0 findings; 4275 ms
215/258: seed 8156 passed; 0 findings; 3410 ms
216/258: seed 8191 passed; 0 findings; 2917 ms
217/258: seed 8358 passed; 0 findings; 2837 ms
218/258: seed 8318 passed; 0 findings; 2909 ms
219/258: seed 8243 passed; 0 findings; 3180 ms
220/258: seed 8222 passed; 0 findings; 3570 ms
